price;lagged_price_24h;lagged_price_25h;lagged_price_26h;lagged_price_27h;lagged_price_7d;lagged_price_24h_mean_24h;lagged_price_24h_mean_7d
85.09;0.01;-0.11;0.87;2.63;19.57;15.9995833333321;56.12285714285701
85.02;0.31;0.01;-0.11;0.87;17.15;13.907499999998768;55.94999999999986
85.01;-0.06;0.31;0.01;-0.11;16.18;12.6583333333321;55.77130952380939
79.1;-0.16;-0.06;0.31;0.01;26.07;11.572499999998767;55.59172619047606
79.08;-0.59;-0.16;-0.06;0.31;59.98;10.477499999998766;55.40702380952367
85.01;-0.16;-0.59;-0.16;-0.06;80.02;9.408749999998767;55.215952380952245
84.64;72.49;-0.16;-0.59;-0.16;70.01;10.829999999998767;55.43863095238081
77.92;106.84;72.49;-0.16;-0.59;70.02;12.7833333333321;55.81886904761892
55.12;93.31;106.84;72.49;-0.16;59.92;15.008749999998768;56.11988095238082
6.97;65.77;93.31;106.84;72.49;58.07;16.776666666665434;56.281071428571295
0.79;20.34;65.77;93.31;106.84;36.5;17.41666666666543;56.175416666666536
0.0;1.96;20.34;65.77;93.31;30.2;17.452916666665434;55.978869047618915
-0.58;0.34;1.96;20.34;65.77;24.33;17.473749999998766;55.77749999999986
-0.88;0.01;0.34;1.96;20.34;14.53;17.498749999998765;55.583452380952245
-0.91;0.02;0.01;0.34;1.96;13.34;17.532083333332096;55.39446428571415
-0.07;19.08;0.02;0.01;0.34;25.4;18.334583333332095;55.31678571428558
2.98;63.89;19.08;0.02;0.01;30.01;20.868333333332096;55.49297619047605
30.92;83.82;63.89;19.08;0.02;77.46;23.52791666666543;55.741488095237955
78.43;103.37;83.82;63.89;19.08;95.65;27.00374999999876;55.87791666666652
99.24;132.99;103.37;83.82;63.89;121.92;32.15249999999876;56.09214285714271
119.56;166.63;132.99;103.37;83.82;132.15;38.89999999999876;56.44333333333319
101.0;133.04;166.63;132.99;103.37;110.83;44.33374999999876;56.608630952380814
84.19;85.8;133.04;166.63;132.99;88.09;47.87249999999876;56.761904761904624
25.21;69.82;85.8;133.04;166.63;81.59;50.78624999999875;57.024285714285575
24.36;85.09;69.82;85.8;133.04;90.58;54.331249999998754;57.414285714285576
19.25;85.02;85.09;69.82;85.8;84.82;57.86083333333209;57.818273809523674
43.45;85.01;85.02;85.09;69.82;83.52;61.40541666666542;58.227976190476056
40.23;79.1;85.01;85.02;85.09;80.49;64.70791666666541;58.54363095238082
45.22;79.08;79.1;85.01;85.02;74.74;68.02749999999874;58.6573214285713
42.46;85.01;79.08;79.1;85.01;71.13;71.57624999999875;58.68702380952368
17.19;84.64;85.01;79.08;79.1;61.75;72.08249999999875;58.774107142857005
4.67;77.92;84.64;85.01;79.08;51.74;70.87749999999876;58.82113095238081
1.48;55.12;77.92;84.64;85.01;37.18;69.28624999999876;58.792559523809395
-1.23;6.97;55.12;77.92;84.64;25.63;66.83624999999876;58.48839285714272
-2.57;0.79;6.97;55.12;77.92;9.33;66.02166666666542;58.2758333333332
-4.07;0.0;0.79;6.97;55.12;3.59;65.93999999999876;58.09607142857129
-5.09;-0.58;0.0;0.79;6.97;3.18;65.90166666666543;57.947797619047485
-6.58;-0.88;-0.58;0.0;0.79;1.94;65.86458333333209;57.8560714285713
-5.16;-0.91;-0.88;-0.58;0.0;1.9;65.82583333333208;57.77124999999987
-2.09;-0.07;-0.91;-0.88;-0.58;4.27;65.02791666666543;57.61964285714273
-0.09;2.98;-0.07;-0.91;-0.88;4.9;62.48999999999876;57.45874999999987
2.59;30.92;2.98;-0.07;-0.91;32.0;60.2858333333321;57.18172619047606
24.72;78.43;30.92;2.98;-0.07;86.5;59.246666666665426;57.07922619047607
63.62;99.24;78.43;30.92;2.98;93.93;57.840416666665426;56.944226190476066
73.92;119.56;99.24;78.43;30.92;109.23;55.879166666665434;56.86928571428559
55.4;101.0;119.56;99.24;78.43;104.94;54.54416666666543;56.81077380952369
43.53;84.19;101.0;119.56;99.24;40.06;54.477083333332104;56.7875595238094
34.75;25.21;84.19;101.0;119.56;24.11;52.61833333333211;56.451964285714155
26.2;24.36;25.21;84.19;101.0;26.92;50.08791666666544;56.05779761904749
25.25;19.25;24.36;25.21;84.19;25.74;47.347499999998774;55.667499999999876
25.01;43.45;19.25;24.36;25.21;25.16;45.61583333333211;55.428988095237976
24.11;40.23;43.45;19.25;24.36;24.95;43.996249999998774;55.189345238095115
26.36;45.22;40.23;43.45;19.25;27.89;42.58541666666544;55.01363095238083
36.65;42.46;45.22;40.23;43.45;74.02;40.81249999999877;54.842976190476065
48.84;17.19;42.46;45.22;40.23;104.52;38.00208333333211;54.577738095237976
100.95;4.67;17.19;42.46;45.22;130.26;34.949999999998774;54.297559523809404
76.59;1.48;4.67;17.19;42.46;100.46;32.714999999998774;54.0850595238094
37.59;-1.23;1.48;4.67;17.19;85.67;32.373333333332106;53.925178571428454
18.19;-2.57;-1.23;1.48;4.67;71.92;32.233333333332105;53.85434523809512
7.04;-4.07;-2.57;-1.23;1.48;64.27;32.06374999999877;53.80874999999988
1.59;-5.09;-4.07;-2.57;-1.23;64.17;31.875833333332107;53.75952380952369
1.01;-6.58;-5.09;-4.07;-2.57;60.87;31.638333333332103;53.70880952380941
0.3;-5.16;-6.58;-5.09;-4.07;59.91;31.46124999999877;53.666785714285595
1.51;-2.09;-5.16;-6.58;-5.09;68.19;31.377083333332106;53.62892857142845
17.19;-0.09;-2.09;-5.16;-6.58;79.66;31.249166666665435;53.599226190476074
33.93;2.59;-0.09;-2.09;-5.16;91.12;30.068749999998772;53.42416666666655
37.6;24.72;2.59;-0.09;-2.09;90.1;27.830833333332105;53.05642857142845
43.04;63.62;24.72;2.59;-0.09;127.28;26.34666666666544;52.87601190476179
38.2;73.92;63.62;24.72;2.59;132.05;24.444999999998767;52.66583333333322
35.12;55.4;73.92;63.62;24.72;100.89;22.544999999998765;52.37095238095226
31.31;43.53;55.4;73.92;63.62;48.52;20.8508333333321;52.391607142857026
33.66;34.75;43.53;55.4;73.92;35.15;21.248333333332102;52.45494047619036
23.38;26.2;34.75;43.53;55.4;35.46;21.324999999998766;52.45065476190465
19.95;25.25;26.2;34.75;43.53;35.05;21.574999999998766;52.44773809523798
19.93;25.01;25.25;26.2;34.75;34.81;20.806666666665432;52.44684523809513
19.95;24.11;25.01;25.25;26.2;34.74;20.134999999998765;52.44184523809513
20.0;26.36;24.11;25.01;25.25;35.19;19.349166666665436;52.432738095237994
23.01;36.65;26.36;24.11;25.01;50.73;19.107083333332103;52.21029761904751
38.37;48.84;36.65;26.36;24.11;95.99;20.425833333332104;51.878869047618934
54.97;100.95;48.84;36.65;26.36;118.21;24.437499999998767;51.704404761904655
46.75;76.59;100.95;48.84;36.65;112.66;27.567083333332103;51.56232142857133
7.73;37.59;76.59;100.95;48.84;91.75;29.184583333332103;51.27613095238085
0.33;18.19;37.59;76.59;100.95;82.62;30.04958333333211;50.95630952380942
-1.46;7.04;18.19;37.59;76.59;69.91;30.512499999998777;50.615654761904665
-3.0;1.59;7.04;18.19;37.59;55.31;30.790833333332113;50.24315476190467
-3.72;1.01;1.59;7.04;18.19;47.01;31.107083333332113;49.88684523809514
-4.99;0.3;1.01;1.59;7.04;40.05;31.33458333333211;49.53202380952371
-3.99;1.51;0.3;1.01;1.59;36.41;31.48458333333211;49.13511904761894
-0.92;17.19;1.51;0.3;1.01;51.76;32.20458333333212;48.76327380952371
1.49;33.93;17.19;1.51;0.3;58.63;33.51041666666544;48.42285714285705
32.68;37.6;33.93;17.19;1.51;103.32;34.04708333333211;48.11035714285705
37.62;43.04;37.6;33.93;17.19;130.64;33.18958333333211;47.60892857142848
37.72;38.2;43.04;37.6;33.93;147.42;31.70124999999878;47.05029761904752
36.33;35.12;38.2;43.04;37.6;119.11;30.85624999999878;46.658809523809424
32.42;31.31;35.12;38.2;43.04;74.21;30.34708333333211;46.556369047618944
-1.01;33.66;31.31;35.12;38.2;50.55;30.301666666665444;46.5474999999999
-0.21;23.38;33.66;31.31;35.12;52.97;30.184166666665444;46.47559523809514
-0.16;19.95;23.38;33.66;31.31;52.23;29.963333333332113;46.38571428571419
-0.15;19.93;19.95;23.38;33.66;50.87;29.751666666665443;46.29714285714275
-0.11;19.95;19.93;19.95;23.38;48.01;29.57833333333211;46.20910714285704
-0.05;20.0;19.95;19.93;19.95;52.26;29.31333333333211;46.11869047619037
26.88;23.01;20.0;19.95;19.93;53.06;28.74499999999878;45.95369047619038
36.2;38.37;23.01;20.0;19.95;104.9;28.308749999998778;45.61071428571419
57.89;54.97;38.37;23.01;20.0;116.77;26.392916666665442;45.23428571428562
59.96;46.75;54.97;38.37;23.01;107.48;25.149583333332107;44.84196428571419
43.52;7.73;46.75;54.97;38.37;90.19;23.90541666666544;44.34184523809514
7.06;0.33;7.73;46.75;54.97;83.66;23.161249999998773;43.852023809523715
0.22;-1.46;0.33;7.73;46.75;77.57;22.807083333332105;43.42720238095229
-0.93;-3.0;-1.46;0.33;7.73;71.18;22.615833333332105;43.08011904761895
-1.05;-3.72;-3.0;-1.46;0.33;61.93;22.41874999999877;42.77815476190466
-0.95;-4.99;-3.72;-3.0;-1.46;62.09;22.198333333332105;42.510059523809424
-0.09;-3.99;-4.99;-3.72;-3.0;59.89;21.96916666666544;42.26958333333324
1.73;-0.92;-3.99;-4.99;-3.72;64.1;21.214583333332104;41.95601190476181
6.95;1.49;-0.92;-3.99;-4.99;87.95;19.862916666665438;41.615892857142754
28.92;32.68;1.49;-0.92;-3.99;103.95;19.65791666666544;41.19541666666657
36.42;37.62;32.68;1.49;-0.92;124.48;19.432083333332105;40.64172619047609
37.16;37.72;37.62;32.68;1.49;134.42;19.412083333332106;39.988749999999904
35.63;36.33;37.72;37.62;32.68;113.97;19.462499999998773;39.49601190476181
35.4;32.42;36.33;37.72;37.62;94.22;19.508749999998773;39.24726190476181
6.03;-1.01;32.42;36.33;37.72;85.85;18.06416666666544;38.940357142857046
2.66;-0.21;-1.01;32.42;36.33;51.55;17.08124999999877;38.62380952380942
2.73;-0.16;-0.21;-1.01;32.42;50.52;16.243333333332107;38.31196428571419
3.36;-0.15;-0.16;-0.21;-1.01;29.92;15.406666666665439;38.008273809523715
4.51;-0.11;-0.15;-0.16;-0.21;25.9;14.570833333332105;37.72184523809514
6.87;-0.05;-0.11;-0.15;-0.16;25.69;13.735416666665438;37.410476190476096
17.2;26.88;-0.05;-0.11;-0.15;25.49;13.896666666665439;37.254642857142755
25.97;36.2;26.88;-0.05;-0.11;38.38;13.806249999998771;36.84571428571419
46.08;57.89;36.2;26.88;-0.05;59.96;13.927916666665439;36.495238095237994
40.31;59.96;57.89;36.2;26.88;39.9;14.478333333332104;36.212380952380855
26.75;43.52;59.96;57.89;36.2;23.34;15.969583333332103;35.934583333333244
10.32;7.06;43.52;59.96;57.89;4.98;16.24999999999877;35.47863095238087
1.26;0.22;7.06;43.52;59.96;1.09;16.31999999999877;35.0182142857142
-0.02;-0.93;0.22;7.06;43.52;-0.16;16.40624999999877;34.58898809523801
-0.71;-1.05;-0.93;0.22;7.06;-0.59;16.517499999998773;34.21410714285705
-0.16;-0.95;-1.05;-0.93;0.22;-0.78;16.685833333332106;33.83886904761896
0.92;-0.09;-0.95;-1.05;-0.93;-0.18;16.848333333332107;33.48184523809515
9.09;1.73;-0.09;-0.95;-1.05;3.08;16.958749999998776;33.110595238095144
17.28;6.95;1.73;-0.09;-0.95;19.99;17.186249999998775;32.62845238095228
20.81;28.92;6.95;1.73;-0.09;19.95;17.02958333333211;32.18184523809514
24.36;36.42;28.92;6.95;1.73;9.42;16.97958333333211;31.657678571428477
25.45;37.16;36.42;28.92;6.95;4.69;16.956249999998775;31.078749999999907
21.05;35.63;37.16;36.42;28.92;2.63;16.92708333333211;30.61244047619038
10.0;35.4;35.63;37.16;36.42;0.87;17.051249999998774;30.26232142857133
4.3;6.03;35.4;35.63;37.16;-0.11;17.344583333332107;29.787202380952277
3.3;2.66;6.03;35.4;35.63;0.01;17.464166666665438;29.49619047619037
2.86;2.73;2.66;6.03;35.4;0.31;17.58458333333211;29.21172619047608
2.81;3.36;2.73;2.66;6.03;-0.06;17.730833333332107;29.05363095238084
2.82;4.51;3.36;2.73;2.66;-0.16;17.923333333332106;28.926309523809415
3.48;6.87;4.51;3.36;2.73;-0.59;18.21166666666544;28.814285714285607
4.99;17.2;6.87;4.51;3.36;-0.16;17.808333333332108;28.764940476190368
23.07;25.97;17.2;6.87;4.51;72.49;17.38208333333211;28.691071428571323
29.97;46.08;25.97;17.2;6.87;106.84;16.889999999998775;28.608452380952276
32.45;40.31;46.08;25.97;17.2;93.31;16.071249999998777;28.610892857142755
25.67;26.75;40.31;46.08;25.97;65.77;15.372499999998778;28.631190476190373
11.18;10.32;26.75;40.31;46.08;20.34;15.50833333333211;28.662976190476087
4.21;1.26;10.32;26.75;40.31;1.96;15.551666666665442;28.663988095237993
2.95;-0.02;1.26;10.32;26.75;0.34;15.58958333333211;28.664821428571322
1.93;-0.71;-0.02;1.26;10.32;0.01;15.603749999998778;28.664107142857038
1.25;-0.16;-0.71;-0.02;1.26;0.02;15.636666666665443;28.667797619047512
2.48;0.92;-0.16;-0.71;-0.02;19.08;15.678749999998777;28.674345238095135
3.28;9.09;0.92;-0.16;-0.71;63.89;15.985416666665442;28.710119047618946
4.98;17.28;9.09;0.92;-0.16;83.82;16.415833333332106;28.693988095237994
7.16;20.81;17.28;9.09;0.92;103.37;16.07791666666544;28.699107142857045
5.89;24.36;20.81;17.28;9.09;132.99;15.57541666666544;28.788035714285613
4.13;25.45;24.36;20.81;17.28;166.63;15.087499999998771;28.911607142857044
1.24;21.05;25.45;24.36;20.81;133.04;14.479999999998773;29.021249999999903
-0.09;10.0;21.05;25.45;24.36;85.8;13.42166666666544;29.07559523809514
-1.6;4.3;10.0;21.05;25.45;69.82;13.349583333332108;29.101845238095137
0.0;3.3;4.3;10.0;21.05;85.09;13.376249999998775;29.12142857142847
0.0;2.86;3.3;4.3;10.0;85.02;13.38166666666544;29.136607142857038
0.19;2.81;2.86;3.3;4.3;85.01;13.358749999998773;29.153690476190377
0.51;2.82;2.81;2.86;3.3;79.1;13.288333333332107;29.17142857142847
0.98;3.48;2.82;2.81;2.86;79.08;13.147083333332107;29.19565476190466
1.42;4.99;3.48;2.82;2.81;85.01;12.638333333332108;29.22630952380942
2.47;23.07;4.99;3.48;2.82;84.64;12.517499999998774;28.93214285714275
4.95;29.97;23.07;4.99;3.48;77.92;11.846249999998776;28.47458333333323
7.97;32.45;29.97;23.07;4.99;55.12;11.518749999998775;28.11232142857132
7.43;25.67;32.45;29.97;23.07;6.97;11.473749999998775;27.873630952380843
4.95;11.18;25.67;32.45;29.97;0.79;11.50958333333211;27.819107142857032
0.71;4.21;11.18;25.67;32.45;0.0;11.632499999998776;27.83249999999989
-0.02;2.95;4.21;11.18;25.67;-0.58;11.756249999998774;27.8480357142856
-1.3;1.93;2.95;4.21;11.18;-0.88;11.866249999998773;27.859464285714175
-2.79;1.25;1.93;2.95;4.21;-0.91;11.924999999998775;27.8667857142856
-1.92;2.48;1.25;1.93;2.95;-0.07;11.989999999998775;27.767976190476073
-0.04;3.28;2.48;1.25;1.93;2.98;11.747916666665441;27.40720238095226
3.38;4.98;3.28;2.48;1.25;30.92;11.235416666665444;26.937916666666545
22.01;7.16;4.98;3.28;2.48;78.43;10.666666666665444;26.365238095237974
102.33;5.89;7.16;4.98;3.28;99.24;9.89708333333211;25.608690476190358
111.55;4.13;5.89;7.16;4.98;119.56;9.008749999998777;24.641428571428452
59.98;1.24;4.13;5.89;7.16;101.0;8.18333333333211;23.856904761904644
4.97;-0.09;1.24;4.13;5.89;84.19;7.762916666665443;23.34565476190464
3.0;-1.6;-0.09;1.24;4.13;25.21;7.51708333333211;22.92053571428559
2.69;0.0;-1.6;-0.09;1.24;24.36;7.37958333333211;22.414047619047498
2.48;0.0;0.0;-1.6;-0.09;19.25;7.260416666665442;21.90797619047607
2.6;0.19;0.0;0.0;-1.6;43.45;7.151249999998775;21.403095238095116
2.85;0.51;0.19;0.0;0.0;40.23;7.054999999998775;20.935297619047496
2.85;0.98;0.51;0.19;0.0;45.22;6.950833333332109;20.470416666666544
2.91;1.42;0.98;0.51;0.19;42.46;6.802083333332107;19.97285714285702
3.57;2.47;1.42;0.98;0.51;17.19;5.943749999998775;19.48374999999988
3.17;4.95;2.47;1.42;0.98;4.67;4.901249999998774;19.04940476190464
5.05;7.97;4.95;2.47;1.42;1.48;3.8812499999987744;18.768749999999876
2.91;7.43;7.97;4.95;2.47;-1.23;3.121249999998774;18.77148809523797
-0.03;4.95;7.43;7.97;4.95;-2.57;2.8616666666654407;18.796249999999876
-0.18;0.71;4.95;7.43;7.97;-4.07;2.715833333332107;18.800476190476065
-2.06;-0.02;0.71;4.95;7.43;-5.09;2.592083333332107;18.8038095238094
-7.41;-1.3;-0.02;0.71;4.95;-6.58;2.457499999998774;18.801309523809397
-15.07;-2.79;-1.3;-0.02;0.71;-5.16;2.2891666666654404;18.790119047618923
-10.0;-1.92;-2.79;-1.3;-0.02;-2.09;2.1058333333321073;18.77910714285702
-3.79;-0.04;-1.92;-2.79;-1.3;-0.09;1.967499999998774;18.761130952380828
-0.06;3.38;-0.04;-1.92;-2.79;2.59;1.9008333333321075;18.597202380952258
62.63;22.01;3.38;-0.04;-1.92;24.72;2.5195833333321076;18.261369047618924
87.44;102.33;22.01;3.38;-0.04;63.62;6.537916666665441;18.279761904761784
110.93;111.55;102.33;22.01;3.38;73.92;11.013749999998774;18.232083333333215
119.91;59.98;111.55;102.33;22.01;55.4;13.461249999998776;17.987916666666546
99.48;4.97;59.98;111.55;102.33;43.53;13.67208333333211;17.516369047618927
84.08;3.0;4.97;59.98;111.55;34.75;13.863749999998776;17.384166666666545
88.91;2.69;3.0;4.97;59.98;26.2;13.97583333333211;17.25517857142845
80.66;2.48;2.69;3.0;4.97;25.25;14.079166666665444;17.15535714285702
84.64;2.6;2.48;2.69;3.0;25.01;14.179583333332111;16.91220238095226
84.02;2.85;2.6;2.48;2.69;24.11;14.277083333332113;16.68970238095226
86.09;2.85;2.85;2.6;2.48;26.36;14.35499999999878;16.43749999999988
89.27;2.91;2.85;2.85;2.6;36.65;14.417083333332114;16.20208333333321
102.2;3.57;2.91;2.85;2.85;48.84;14.462916666665445;16.121011904761783
